"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 19","4,412.25","4,744.13","4,836.45","4,408.17","-","-7.00%"
"Oct 19","4,744.13","5,059.04","5,194.01","4,699.61","-","-6.22%"
"Sep 19","5,059.04","4,804.37","5,152.30","4,713.35","-","5.30%"
"Aug 19","4,804.37","4,972.36","4,990.99","4,589.45","-","-3.38%"
"Jul 19","4,972.36","5,070.71","5,099.89","4,962.73","-","-1.94%"
"Jun 19","5,070.71","4,977.09","5,098.44","4,920.82","-","1.88%"
"May 19","4,977.09","5,187.10","5,197.07","4,798.35","-","-4.05%"
"Apr 19","5,187.10","5,259.41","5,290.31","5,147.20","-","-1.37%"
"Mar 19","5,259.41","5,287.54","5,345.32","5,154.59","-","-0.53%"
"Feb 19","5,287.54","5,405.61","5,515.95","5,280.68","-","-2.18%"
"Jan 19","5,405.61","5,105.43","5,484.18","5,064.41","-","5.88%"
"Dec 18","5,105.43","5,111.88","5,185.98","5,007.94","-","-0.13%"
"Nov 18","5,111.88","5,104.33","5,272.36","5,095.58","-","0.15%"
"Oct 18","5,104.33","5,283.53","5,366.21","4,998.95","-","-3.39%"
"Sep 18","5,283.53","5,270.43","5,507.58","5,137.49","-","0.25%"
"Aug 18","5,270.43","5,434.44","5,454.35","5,222.43","-","-3.02%"
"Jul 18","5,434.44","5,301.25","5,483.04","5,240.34","-","2.51%"
"Jun 18","5,301.25","5,455.09","5,566.77","5,245.94","-","-2.82%"
"May 18","5,455.09","5,711.96","5,730.72","5,433.61","-","-4.48%"
"Apr 18","5,710.90","5,542.22","5,730.72","5,496.40","-","3.04%"
"Mar 18","5,542.22","5,602.83","5,663.14","5,441.34","-","-1.08%"
"Feb 18","5,602.83","5,855.38","5,894.93","5,494.57","-","-4.31%"
"Jan 18","5,855.38","5,565.63","5,890.12","5,558.54","-","5.23%"
"Dec 17","5,564.60","5,003.40","5,646.00","4,846.84","-","11.22%"
